,,p_hint,p_nothing,p_encourage,p_question,3
I need a hint,0,0.795368612,0.094475329,0.101903141,0.008252888,
hint,1,0.865206003,0.062414233,0.063205205,0.009174666,
not helpful dude,2,0.880214691,0.036725286,0.057364594,0.025695445,
hey Rocky,3,0.931172371,0.018198337,0.042889804,0.007739516,
Stop sending :),4,0.836411953,0.034917723,0.068078242,0.060591992,
I am Stuck,5,0.703793645,0.147817537,0.128936484,0.01945238,
help,6,0.213639021,0.237389371,0.52041918,0.028552443,
HELP,7,0.190169036,0.24703896,0.538843155,0.023948841,
,8,,,,,
Child ID 215,0,p_hint,p_nothing,p_encourage,p_question,
what does it mean when it asks me the height?,1,0.469498008,0.078338161,0.363992691,0.088171147,
how do I unhelpful it,2,0.469498008,0.078338161,0.363992691,0.088171147,
what is length?,3,0.631249487,0.057900526,0.221738026,0.089112021,
help!,4,0.266880393,0.045734867,0.220166728,0.467218012,
do I times it?,5,0.701251149,0.051982388,0.167685568,0.07908088,
ok,6,0.726881862,0.004511066,0.025149999,0.243456975,